0,"a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well detailed characters","de niro looks bored , murphy recycles murphy , and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal","('1', '0')",tensor(0.3443)
1,"a shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable",it 's always fascinating to watch marker the essayist at work,"('0', '1')",tensor(0.3017)
2,"the urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative","it 's amazingly perceptive in its subtle , supportive but unsentimental look at the marks family","('1', '1')",tensor(0.3135)
3,coughs and sputters on its own postmodern conceit,"has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive it 's a sly wink to the others without becoming a postmodern joke , made creepy by its men in a sardine can warped logic","('0', '1')",tensor(0.3942)
4,"the movie barely makes sense , with its unbelievable na vet and arbitrary flashbacks","de niro looks bored , murphy recycles murphy , and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal","('0', '0')",tensor(0.3195)
5,"de niro looks bored , murphy recycles murphy , and you mentally add showtime to the pile of hollywood dreck that represents nothing more than the art of the deal","this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare","('0', '1')",tensor(0.3598)
6,"there are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple does n't mean you have to check your brain at the door the same should go for movie theaters","not a bad choice here , assuming that the air conditioning in the theater is working properly","('0', '1')",tensor(0.3527)
7,it 's always fascinating to watch marker the essayist at work,"this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare","('1', '1')",tensor(0.3049)
8,"an undeniably gorgeous , terminally smitten document of a troubadour , his acolytes , and the triumph of his band","the story is inspiring , ironic , and revelatory of just how ridiculous and money oriented the record industry really is it is also a testament to the integrity and vision of the band","('1', '1')",tensor(0.4372)
9,"this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare","instead of trying to bust some blondes , diggs should be probing why a guy with his talent ended up in a movie this bad","('1', '0')",tensor(0.3234)
10,like old myths and wonder tales spun afresh,"has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive it 's a sly wink to the others without becoming a postmodern joke , made creepy by its men in a sardine can warped logic","('1', '1')",tensor(0.3770)
11,"instead of trying to bust some blondes , diggs should be probing why a guy with his talent ended up in a movie this bad",everything is pegged into the groove of a new york dating comedy with 'issues' to simplify,"('0', '0')",tensor(0.3986)
12,it would n't be my preferred way of spending 100 minutes or 7 00,the most excruciating 86 minutes one might sit through this summer that do not involve a dentist drill,"('0', '0')",tensor(0.3723)
13,everything is pegged into the groove of a new york dating comedy with 'issues' to simplify,"has freaky scenes where the crew wonder if they 're ghosts imagining themselves as alive it 's a sly wink to the others without becoming a postmodern joke , made creepy by its men in a sardine can warped logic","('0', '1')",tensor(0.3037)
